"Name","Description1","Description2","Description3","Description4","Description5","Price","Stars","Counto","Countp","Countb","Lasto"
"Холодильник Bosch KGV39NL1AR","60x65x200 см","двухкамерный","класс A","морозильник снизу","общий объем 351 л",35990,5,NA,24,42,NA
"Холодильник ATLANT ХМ 6026-031","60x63x205 см","двухкамерный","класс A","морозильник снизу","общий объем 393 л",23990,4.5,77,26,88,"Низкая цена;
2 компрессора;
большой полезный объём;
невысокое энергопотребление...."
"Холодильник ATLANT ХМ 4008-022","60x63x142 см","двухкамерный","класс A","морозильник снизу","общий объем 244 л",13500,4,70,35,198,"Большой объем при маленьком росте.
Тихий (субъективно, по сравнению со страры ЗИЛом), днем не слышно вообще, ночью тоже не обращаешь внимания - часы громче тикают.
Перенавешиваемые двери, регулируемые полки..."
"Холодильник Бирюса 149","60x62.5x207 см","двухкамерный","класс A","морозильник снизу","общий объем 380 л",17640,4.5,22,60,101,"Большой такой, большая морозилка, сигналит, если дверь долго открыта...."
"Холодильник Indesit EF 16","60x64x167 см","двухкамерный","класс A","морозильник снизу","общий объем 256 л",17697,4.5,10,35,142,"Маленький, no frost, цена небольшая
..."
"Холодильник Indesit DS 4180 S B","60x64x185 см","двухкамерный","класс A","морозильник снизу","общий объем 310 л",24990,5,3,4,37,"Правильное соотношение холодильной и морозильной камеры. Морозилка и вместительная, но и не занимает много места. Холодильная камера же наоборот больше. Были уверены, что холодильник с ноу фрост, но его там нет. Мы не сильно расстроились, так как обн..."
"Холодильник Indesit DF 4160 W","60x64x167 см","двухкамерный","класс A+","морозильник снизу","общий объем 256 л",18009,4.5,26,30,87,"Компактный, негромадный, приятный цвет, нет дурацких деревенских ручек, а открывается удобно, лёгкие двери, очень тихий, мало ест электричества и очень здорово холодит...."
"Холодильник Liebherr CUef 2811","55x62.9x161.2 см","двухкамерный","класс A++","морозильник снизу","общий объем 263 л",3099029990,5,4,11,NA,"Очень элегантный холодильник, радует глаз. Ручки кайфовые. Внутреннее оснащение порадовало своей продуманностью. Полка для бутылок очень кстати, особенно летом. Лоток для яиц (наконец-то) под 12 штук))) Двери перенавешиваются элементарно. Я сама это ..."
"Холодильник ATLANT ХМ 4709-100","59.5x62.5x153.8 см","двухкамерный","класс A+","морозильник снизу","общий объем 264 л",15600,5,7,19,42,"Цена хорошая за нормальное качество, внешний вид, функциональные возможности. И, вообще, техника Белоруссии нам нравится больше чем Китай...."
"Холодильник Liebherr CTP 2921","55x63x157.1 см","двухкамерный","класс A++","морозильник сверху","общий объем 268 л",211502600019,5,15,17,41,"Небольшой, элегантный, очень тихий и цена приемлема...."
"Холодильник Bosch KGN39VI21R","60x66x203 см","двухкамерный","класс A+","морозильник снизу","общий объем 366 л",44990,5,4,11,63,"Большой, красивый, есть возможность выбирать температуру, не шумный, режим ЭКО, класс энергопотребления А+, достаточное количество полок, подставки для яиц, мини бутылочница, возможность встроить в кухню, дверца при открывании на 90 градусов не мешае..."
"Холодильник ATLANT МХ 5810-62","60x60x150 см","однокамерный","класс A","без морозильника","общий объем 285 л",14040,4.5,26,30,83,"Очень тихо работает,качественные материалы и сборка,легко настраиваются ножки,в итоге стоит не шатаясь.Все полочки очень удобно можно перемещать в зависимости от размеров продуктов,морозит хорошо,пришлось на половину уменьшать мощность,минимальное по..."
"Холодильник LG GA-B429 SEQZ","59.5x64.3x190.7 см","управление со смартфона","двухкамерный","класс A++","морозильник снизу",31960,4.5,20,27,148,"Почитав отзывы расстроился, что шумный.  Но нет, практика показала, что относительно шумит при первом включении. Далее - все ОК.  Почти не слышен. В остальном - обычный холодильник. Удачная складывающаяся полка...."
"Холодильник Pozis RK-139 W","60x63x185 см","двухкамерный","класс A+","морозильник снизу","общий объем 335 л",15990,4.5,18,26,50,"Большой,очень тихий,мало кушает(А+).3 года гарантии,5 лет гарантированного сервиса(?)..."
"Холодильник Samsung RB-37 J5000B1","59.5x67.5x201 см","двухкамерный","класс A+","морозильник снизу","зона свежести",38576,4.5,19,17,64,"Он огромный. Ну и стильный цвет, хоть и написано что чёрный, но реально цвет графит, боковины серые. 
Подсветка яркая,цвет холодный, ярко белый. 
Нет дисплея на дверке, следовательно, нет проблем со шлейфом. Хотя в Самсунгах их и так почти нет, в отл..."
"Холодильник Indesit DF 5180 E","60x64x185 см","двухкамерный","класс A","морозильник снизу","общий объем 333 л",24341,5,13,21,31,"Прекрасно сохраняет свежесть продуктов в холодильнике, не гремит..."
"Холодильник Pozis RK-149 S","60x65x196 см","двухкамерный","класс A+","морозильник снизу","общий объем 370 л",17390,5,2,37,45,"Недорого, работает очень тихо еле слышно,качество сборки..."
"Холодильник Samsung RT-22 HAR4DSA","55.5x63.7x154.5 см","двухкамерный","класс A+","морозильник сверху","общий объем 234 л",23990,4.5,16,30,35,"Холодильник с технологией no frost. Большие полки, есть емкость для кубиков льда. Огромная морозилка. Бесшумно работает. Оснащен четырьмя полками с достаточным количеством места и большим нижним ящиком для овощей и фруктов. Просторный холодильник...."
"Холодильник Liebherr CUag 3311","55x63x181.2 см","двухкамерный","класс A++","морозильник снизу","общий объем 294 л",30790,4.5,13,38,45,"Очень приятный цвет.Аккуратно и качественно собран.Компрессор SECOP Австрия.Упакован очень надежно.Обтянут пленкой корпус.Ручка-толкатель...."
"Холодильник LG GC-B247 JVUV","91.2x71.7x179 см","двухкамерный","класс A+","Side by Side (морозильник сбоку)","зона свежести",70956,5,3,23,78,"Тихий, вместительный, очень удачная внутренняя организация пространства, отличные колесики, длинный шнур..."
"Холодильник ATLANT ХМ 4425-049 ND","59.5x62.5x206.8 см","двухкамерный","класс A","морозильник снизу","общий объем 342 л",27680,4.5,4,29,50,"Холодильник достойный. Вместительный и функциональный. Когда включается, немного шумит, но вообще не значительно...."
"Холодильник Samsung RR-39 M7140SA","59.5x69.4x185.3 см","управление со смартфона","однокамерный","класс A+","без морозильника",43750,5,2,31,24,"Отличный холодильник, если есть отдельный морозильный ларь.
очень хорошо сохраняются продукты, дверка автоматически дозакрывается сама, много места при демократичной цене...."
"Холодильник Indesit DF 5200 S","60x64x200 см","двухкамерный","класс A","морозильник снизу","общий объем 328 л",25540,4.5,84,18,59,"Пользуемся две недели,все устраивает, по цене и качеству отлично!..."
"Холодильник SUPRA RF-076","44.5x51x63 см","однокамерный","класс A+","морозильник сверху","общий объем 74 л",6940,5,1,12,31,"Хорошая цена и качество. 
Очень вместительный. 
Не шумный. 
Приятный глазу серый цвет...."
"Холодильник Bosch KGV36NL1AR","60x65x185 см","двухкамерный","класс A","морозильник снизу","общий объем 317 л",32990,4.5,NA,17,42,NA
"Холодильник Bravo XR-101WD","45x47x85 см","однокамерный","класс A+","морозильник сверху","общий объем 90 л",7895,5,NA,17,27,NA
"Холодильник ATLANT ХМ 4624-101","59.5x62.9x196.8 см","двухкамерный","класс A+","морозильник снизу","зона свежести",21582,4.5,11,29,41,"Энергоэкономичный, емкий, почти бесшумный, не пахнет пластиком...."
"Холодильник Liebherr SBS 7212","121x63x185.2 см","двухкамерный","класс A+","Side by Side (морозильник сбоку)","общий объем 640 л",95182,4.5,25,34,51,"Среди аналогов - самый большой. В морозилке все полки в виде ящиков, все вытаскиваются, разделены идеально, двигаются ящики очень хорошо. Соотношение холодильник/морозильник - идеальное. Это тогда, кода морозилка осенью используется на 90+ %, к лету ..."
"Холодильник Indesit DF 4180 W","60x64x185 см","двухкамерный","класс A","морозильник снизу","общий объем 302 л",21152,4.5,123,31,129,"Функция NoFrost в обоих отделениях
Красивый внешний и внутренний вид
Один из самых доступных по цене с подобным функционалам..."
"Холодильник BEKO RCNK 310KC0 W","54x60x184 см","двухкамерный","класс A+","морозильник снизу","общий объем 276 л",17250,4.5,4,35,96,NA
"Холодильник ATLANT ХМ 4210-000","54.5x60x161.5 см","двухкамерный","класс A","морозильник снизу","общий объем 212 л",13775,4.5,24,32,96,"Довольно тихий в работе. Хороший объем, особенно морозильная камера на 80л порадовала. Качественная сборка и покрытие...."
"Холодильник Gorenje NRK 6201 GHW","60x60x200 см","двухкамерный","класс A+","морозильник снизу","зона свежести",29258,NA,NA,30,NA,NA
"Холодильник Stinol STN 200","60x64x200 см","двухкамерный","класс A","морозильник снизу","общий объем 359 л",18960,4.5,26,37,68,"Тотальный ноу фрост обеих камер, если раньше приходилось размораживать постоянно, то теперь мне это делать не нужно..."
"Холодильник ATLANT ХМ 4712-100","59.5x62.5x172.9 см","двухкамерный","класс A+","морозильник снизу","общий объем 303 л",16780,5,10,30,51,"Экономичное энергопотребление, вместительный..."
"Холодильник Bosch KGN39VW17R","60x65x200 см","двухкамерный","класс A","морозильник снизу","общий объем 315 л",34232,5,2,31,68,"Удобный, красивый, эргономичный ..."
"Холодильник Whirlpool WTNF 901 X","60x64x200 см","двухкамерный","класс A","морозильник снизу","зона свежести: сухая и влажная",28315,5,5,2,NA,"Совершенно вкусный дизайн. Не надо запариваться с его мытьем. Потому что и сам корпус вообще не маркий. Ничего на нем не видно, просто протираю тряпкой. И в самом холодильнике ничего не надо размораживать. Снега/льда/инея я в нем не вижу. Каких-то ск..."
"Холодильник Бирюса 124","48x60.5x158 см","двухкамерный","класс A","морозильник сверху","общий объем 205 л",11449,4.5,1,51,48,NA
"Холодильник Hansa FK205.4","49.5x53.6x144 см","двухкамерный","класс A+","морозильник снизу","общий объем 156 л",15746,5,1,29,NA,"Морозит хорошо,экономичен в плане энергопотребления, для тех кому нужен узкий холодильник самое оно..."
"Холодильник Samsung RB-30 J3000SA","59.5x66.8x178 см","двухкамерный","класс A+","морозильник снизу","общий объем 311 л",27767,4.5,23,36,74,"Тихий, вместительный, большая морозилка...."
"Холодильник Liebherr CN 4713","60x65.5x201.1 см","двухкамерный","класс A++","морозильник снизу","общий объем 328 л",29191,5,1,33,49,"Огромная морозильная камера
Хорошо держит температуру
Внешний вид..."
"Холодильник LG GA-B429 SQQZ","59.5x64.3x190.7 см","управление со смартфона","двухкамерный","класс A++","морозильник снизу",32013,4.5,13,32,76,"Холодильник очень тихий - почти равномерный постоянный шум, без стука, дребезжания и переключений реле и без резких изменений шума. Можно спать в одной с ним комнате, главное, чтобы стоял передом к кровати.
Образующийся конденсат и иней из-за открыти..."
"Холодильник Liebherr CUwb 3311","55x63x181.2 см","двухкамерный","класс A++","морозильник снизу","общий объем 294 л",32150,4.5,13,28,54,"Приятный внешне, удобные ручки, хороший с т.з. эргономики...."
"Холодильник Candy CCMN 7182 IXS","74.5x70.4x180 см","трехкамерный","морозильник снизу","общий объем 371 л","No Frost",45914,5,1,25,31,"Тихий, большая морозилка, не дорогой...."
"Холодильник Bravo XR-81WD","45x47x68 см","однокамерный","класс A+","морозильник сверху","общий объем 71 л",7378,5,1,16,82,"Соответствует описанию, хороший внешний вид, бесшумный, наличие реальной морозильной камеры с отрицательной температурой, полуавтоматическая оттайка. Механическое управление. Отключение компрессора при достижении заданной температуры внутри. Ровная з..."
"Холодильник Бирюса 139","60x62.5x180 см","двухкамерный","класс A","морозильник сверху","общий объем 320 л",13500,4.5,13,57,51,"Большой морозильник с двумя полками. Маленькая цена за такой большой общий объём. Подставка под 11 яиц...."
"Холодильник BEKO RCNK 356E21 A","59.5x60x201 см","двухкамерный","класс A+","морозильник снизу","зона свежести",24040,4.5,7,28,67,"Отличный холодильник, вместительный, приятного матового цвета, удобно управлять температурой...."
"Холодильник ATLANT ХМ 4010-022","60x63x161 см","двухкамерный","класс A","морозильник снизу","общий объем 283 л",14475,4.5,24,38,152,"Недорогой. Хороший крепкий корпус. Морозит и холодит хорошо. Огромная заморозка при небольших общих габаритах...."
"Холодильник Stinol STN 167","60x64x167 см","двухкамерный","класс A","морозильник снизу","общий объем 290 л",16590,4.5,17,38,64,"За такую небольшую цену очень качественный холодильник, No Frost, большая вместимость..."
